PID,CIK,Year,Label
262,95395,1982,0
262,95395,1983,0
262,95395,1984,0
262,95395,1985,0
262,95395,1986,0
264,721171,1987,0
264,721171,1988,0
267,1043337,1986,0
268,802513,1985,0
271,718388,1984,0
271,718388,1985,0
271,718388,1986,0
273,770503,1986,0
280,277317,1987,0
282,729602,1985,0
282,729602,1986,0
291,752363,1986,0
293,791716,1986,0
296,784683,1986,0
306,1024401,1985,0
306,1024401,1986,0
308,714921,1986,0
308,714921,1987,0
315,814581,1987,0
319,795760,1987,0
325,731308,1986,0
325,731308,1987,0
325,731308,1988,0
332,732775,1988,0
338,758328,1987,0
338,758328,1988,0
338,758328,1989,0
338,758328,1990,0
343,721688,1986,0
343,721688,1987,0
356,809572,1986,0
356,809572,1987,0
356,809572,1988,0
361,819182,1988,0
361,819182,1989,0
364,795410,1986,0
370,812146,1989,0
370,812146,1990,0
371,824575,1991,0
388,789932,1986,0
388,789932,1987,0
389,100817,1989,1
389,100817,1990,0
398,810270,1989,0
398,810270,1990,0
416,80124,1989,0
416,80124,1990,0
416,80124,1991,0
421,722057,1987,1
422,12570,1989,0
445,807359,1988,0
448,54235,1988,0
448,54235,1989,0
450,822614,1988,0
450,822614,1989,0
452,4962,1981,0
452,4962,1982,0
455,1387767,1988,0
460,751226,1986,0
460,751226,1987,0
460,751226,1988,0
471,890981,1987,0
473,779676,1990,0
473,779676,1991,0
473,779676,1992,0
483,32160,1989,0
485,18621,1989,0
490,746072,1989,0
494,1341439,1989,0
508,731336,1988,0
508,731336,1989,0
508,731336,1990,0
512,849642,1989,0
521,771950,1987,0
521,771950,1988,0
522,352383,1989,0
529,356395,1986,0
530,1473061,1988,0
530,1473061,1989,0
530,1473061,1990,0
541,314474,1985,0
541,314474,1986,0
541,314474,1987,0
542,731306,1988,0
542,731306,1989,0
542,731306,1990,0
543,848462,1989,0
543,848462,1990,0
543,848462,1991,0
553,353217,1988,0
555,763950,1990,0
556,99429,1989,0
573,70318,1989,0
573,70318,1990,0
591,840401,1988,0
591,840401,1989,0
591,840401,1990,0
591,840401,1991,0
594,715805,1989,0
598,875620,1992,0
598,875620,1993,0
604,837429,1991,0
604,837429,1992,0
612,726602,1991,0
612,726602,1992,0
615,801313,1986,0
615,801313,1987,0
615,801313,1988,0
617,1322183,1990,0
619,725476,1986,0
619,725476,1987,0
619,725476,1988,0
621,763733,1991,0
623,21759,1992,0
641,831978,1998,0
641,831978,1999,0
659,80630,1988,1
659,80630,1989,0
659,80630,1990,0
667,764960,1987,0
667,764960,1988,0
667,764960,1989,0
667,764960,1990,0
667,764960,1991,0
667,764960,1992,0
669,776074,1989,0
669,776074,1990,0
669,776074,1991,0
682,67516,1989,0
683,714593,1989,0
683,714593,1990,0
683,714593,1991,0
684,59870,1992,0
684,59870,1993,0
694,813359,1989,0
696,793971,1991,0
697,814184,1989,0
700,875729,1992,0
700,875729,1993,0
702,792969,1989,0
702,792969,1990,0
715,105634,1991,0
736,934795,1990,0
743,814085,1990,0
743,814085,1991,0
745,720695,1989,0
762,726606,1991,0
771,731714,1985,0
771,731714,1986,0
775,3905,1989,0
776,883944,1992,0
778,726712,1991,0
778,726712,1992,0
782,876490,1992,0
786,277809,1994,0
786,277809,1995,0
787,891178,1993,0
789,745452,1990,0
789,745452,1991,0
789,745452,1992,0
789,745452,1993,0
789,745452,1994,0
797,63917,1990,0
807,857351,1990,0
812,807732,1992,0
821,891762,1993,0
823,731012,1990,0
823,731012,1991,0
828,1437491,1993,0
833,885520,1991,0
834,912894,1993,0
837,800460,1994,0
838,830991,1991,0
838,830991,1992,0
838,830991,1993,0
839,826253,1993,0
839,826253,1994,0
843,704292,1991,0
843,704292,1992,0
844,855334,1992,0
846,882692,1994,0
857,843462,1989,0
857,843462,1990,0
857,843462,1991,0
857,843462,1992,0
857,843462,1993,0
859,814287,1988,0
859,814287,1989,0
859,814287,1990,0
859,814287,1991,0
865,769191,1992,0
874,837912,1991,0
893,89807,1991,0
893,89807,1992,0
893,89807,1993,0
893,89807,1994,0
895,850415,1994,0
895,850415,1995,0
901,841054,1991,0
901,841054,1992,0
903,820235,1992,0
903,820235,1993,0
906,704175,1990,0
906,704175,1991,0
912,843212,1988,0
912,843212,1989,0
912,843212,1990,0
912,843212,1991,0
912,843212,1992,0
912,843212,1993,0
915,813342,1991,0
915,813342,1992,0
925,892433,1993,0
926,766588,1992,0
942,876896,1992,0
943,356226,1991,0
943,356226,1992,0
946,910613,1992,0
946,910613,1993,0
950,887708,1993,1
951,852615,1990,0
951,852615,1991,0
951,852615,1992,0
951,852615,1993,0
951,852615,1994,0
956,1428529,1993,0
956,1428529,1994,0
958,865072,1992,0
958,865072,1993,0
958,865072,1994,0
958,865072,1995,0
959,836190,1993,0
960,876134,1991,1
965,1409475,1992,0
967,51497,1993,0
971,711665,1992,0
975,904344,1993,0
987,1416436,1993,0
990,876889,1995,0
990,876889,1996,0
992,907072,1994,0
999,720481,1992,0
999,720481,1993,0
1002,356309,1992,0
1017,88974,1994,1
1017,88974,1995,0
1033,763414,1992,0
1037,77628,1992,0
1037,77628,1993,1
1044,897074,1993,0
1047,787793,1993,0
1047,787793,1994,0
1067,871424,1993,0
1071,879301,1992,0
1071,879301,1993,0
1095,945024,1995,0
1095,945024,1996,0
1095,945024,1997,0
1104,29693,1994,0
1104,29693,1995,0
1106,16926,1992,0
1106,16926,1993,0
1109,911149,1993,0
1110,720577,1994,0
1110,720577,1995,0
1123,845572,1993,0
1123,845572,1994,0
1126,97216,1989,0
1126,97216,1990,0
1126,97216,1991,0
1126,874268,1989,0
1126,874268,1990,0
1126,874268,1991,0
1126,874268,1992,0
1126,874268,1993,0
1128,896880,1994,0
1140,1045309,1991,1
1140,1045309,1992,1
1140,1045309,1993,1
1140,1045309,1994,0
1140,1045309,1995,0
1144,892872,1994,0
1144,892872,1995,0
1145,832813,1991,0
1149,30780,1994,0
1149,30780,1995,0
1154,109831,1996,0
1160,819479,1993,0
1161,926296,1996,0
1169,54175,1995,0
1169,54175,1996,0
1176,755003,1994,0
1176,755003,1995,0
1176,755003,1996,0
1181,921550,1994,0
1183,894906,1995,0
1184,828529,1993,0
1190,730263,1996,0
1190,730263,1997,0
1209,727207,1998,0
1215,799089,1994,0
1215,799089,1995,0
1215,799089,1996,0
1223,860518,1996,0
1223,860518,1997,0
1233,859640,1993,0
1237,889899,1993,0
1240,313368,1994,0
1246,1011632,1997,0
1258,1105705,1995,0
1258,1105705,1996,0
1259,890286,1994,0
1259,890286,1995,0
1259,890286,1996,0
1270,820588,1995,0
1272,723612,1995,0
1272,723612,1996,0
1272,723612,1997,0
1282,900091,1997,0
1285,808207,1994,0
1285,808207,1995,0
1285,808207,1996,0
1290,803656,1991,0
1290,803656,1992,0
1295,885725,1997,0
1297,794803,1988,0
1297,794803,1989,0
1297,794803,1990,0
1297,794803,1991,0
1301,900339,1993,0
1301,900339,1994,0
1303,278130,1994,0
1304,1023393,1997,0
1308,791164,1995,0
1311,919006,1994,0
1311,919006,1995,0
1311,919006,1996,0
1313,1005230,1997,0
1328,73568,1995,0
1329,927653,1997,0
1329,927653,1998,0
1331,3449,1994,0
1331,3449,1995,0
1340,1018645,1995,0
1340,1018645,1996,0
1343,878556,1995,0
1353,1009869,1996,0
1358,1023516,1996,0
1358,1023516,1997,0
1361,1060024,1998,0
1370,947427,1992,0
1370,947427,1993,0
1370,947427,1994,0
1378,70578,1992,0
1378,70578,1993,0
1378,70578,1994,0
1378,70578,1995,0
1378,70578,1996,0
1385,883908,1992,0
1385,883908,1993,0
1393,3662,1996,1
1393,3662,1997,0
1397,891920,1995,0
1411,758722,1993,0
1411,758722,1994,0
1411,758722,1995,0
1414,916802,1994,0
1414,916802,1995,0
1414,916802,1996,0
1450,810750,1997,0
1454,913600,1996,0
1454,913600,1997,0
1456,917173,1996,0
1456,917173,1997,0
1456,917173,1998,0
1456,917173,1999,0
1465,1065152,2000,0
1470,88121,1995,0
1470,88121,1996,0
1470,88121,1997,0
1470,88121,1998,0
1470,88121,1999,0
1476,1058986,1999,0
1478,914565,1995,0
1480,1011584,1992,0
1480,1011584,1993,0
1480,1011584,1994,0
1480,1011584,1995,0
1480,1011584,1996,0
1484,1077913,1999,0
1500,911115,1997,0
1500,911115,1998,0
1500,911115,1999,0
1500,911115,2000,0
1501,927133,1997,0
1503,1060801,2000,0
1509,947431,2000,0
1511,352495,1996,0
1511,352495,1997,0
1513,1102301,1999,0
1516,353646,1997,0
1516,353646,1998,0
1516,353646,1999,0
1518,352998,1995,0
1518,352998,1996,0
1531,946816,1996,0
1533,55785,1995,0
1533,55785,1996,0
1533,55785,1997,0
1533,55785,1998,0
1534,901119,1996,0
1534,901119,1997,0
1536,755095,1996,0
1542,108772,1997,0
1542,108772,1998,0
1542,108772,1999,0
1542,108772,2000,0
1555,1089567,1998,0
1555,1089567,1999,0
1555,1089567,2000,0
1555,1089567,2001,0
1559,880562,1999,0
1560,1024678,1999,0
1563,789019,1995,0
1563,789019,1996,0
1563,789019,1997,0
1563,789019,1998,0
1564,60911,1998,0
1568,861438,1996,0
1573,1089909,2000,0
1575,826253,1997,0
1575,826253,1998,0
1579,84129,1998,0
1579,84129,1999,0
1595,8868,1999,0
1602,803190,1991,0
1602,803190,1992,0
1603,1016370,1997,0
1622,1005268,1997,0
1622,1005268,1998,0
1628,1012480,1998,0
1629,918251,1996,0
1629,918251,1997,0
1631,1379895,2001,0
1637,354908,1998,0
1648,1002131,1996,0
1648,1002131,1997,0
1648,1002131,1998,0
1648,1002131,1999,0
1651,784932,1996,0
1651,784932,1997,0
1651,784932,1998,0
1655,802492,1999,0
1655,802492,2000,0
1662,1060239,2001,0
1669,1051118,1999,0
1677,920317,1998,0
1689,701856,1999,0
1696,310377,1997,0
1696,310377,1998,0
1699,898437,1998,0
1699,898437,1999,0
1701,840715,2001,0
1701,840715,2002,0
1718,1005123,1996,0
1721,1018730,1997,1
1722,846909,2000,0
1722,1133618,2000,0
1727,25095,1997,0
1727,25095,1998,1
1727,25095,1999,1
1731,883296,1998,0
1731,883296,1999,0
1735,1095827,2000,0
1747,97854,1999,0
1751,1013749,1997,0
1760,1176983,2000,0
1762,724051,1998,0
1762,724051,1999,0
1766,857737,1997,0
1773,1123337,1999,0
1773,1123337,2000,0
1773,1123337,2001,0
1775,922868,2000,0
1780,1126294,1999,0
1780,1126294,2000,0
1780,1126294,2001,0
1781,1020616,1998,0
1782,1027138,1997,0
1782,1027138,1998,0
1782,1027138,1999,0
1782,1027138,2000,0
1803,278352,1998,0
1803,278352,1999,0
1803,278352,2000,0
1803,278352,2001,0
1803,278352,2002,0
1808,1031107,1999,0
1808,1031107,2000,0
1813,311172,1998,0
1816,893046,1999,0
1816,893046,2000,0
1821,1024401,1997,0
1821,1024401,1998,0
1821,1024401,1999,0
1821,1024401,2000,0
1824,894501,1999,0
1824,894501,2000,0
1824,894501,2001,0
1831,912083,1997,1
1831,912083,1998,1
1831,912083,1999,1
1832,948069,1999,0
1832,948069,2000,0
1839,1608109,1998,0
1839,1608109,1999,0
1839,1608109,2000,0
1839,1608109,2001,0
1839,1608109,2002,0
1848,1093285,2001,0
1854,918946,1998,0
1868,1087831,2000,0
1871,1081015,2000,0
1875,753048,1999,0
1877,892653,1998,0
1877,892653,1999,0
1893,883902,1999,0
1893,883902,2000,0
1919,1022832,1997,0
1919,1022832,1998,0
1921,3116,2000,0
1923,72020,1999,0
1923,72020,2000,0
1923,72020,2001,0
1927,1389050,1999,0
1927,1389050,2000,0
1930,18498,2000,0
1938,872867,1998,0
1938,872867,1999,0
1938,872867,2000,0
1938,872867,2001,0
1940,718909,1997,0
1940,718909,1998,0
1940,718909,1999,0
1940,718909,2000,0
1940,718909,2001,0
1944,907072,2000,0
1948,356028,1999,0
1958,1618673,2000,0
1960,56873,1998,0
1960,56873,1999,0
1967,918999,1997,0
1967,918999,1998,0
1973,1224608,1999,0
1977,723527,1999,0
1977,723527,2000,0
1977,723527,2001,0
1978,811156,2000,0
1979,1064539,2002,0
1984,1048237,2002,0
1987,41133,1999,0
1987,41133,2000,0
1995,730255,1999,0
1997,1018833,1998,0
1997,1018833,1999,0
1999,1015610,2000,0
1999,1015610,2001,0
2016,1006240,2000,0
2027,27748,1997,0
2027,27748,1998,0
2027,27748,1999,0
2033,1009304,1998,0
2033,1009304,1999,0
2033,1009304,2000,0
2033,1009304,2001,0
2036,1095388,1998,0
2036,1095388,1999,0
2036,1095388,2000,0
2037,846538,2002,0
2046,778734,2000,0
2054,754495,1998,0
2062,718396,1998,0
2062,718396,1999,0
2064,1091667,2000,0
2066,52477,1999,0
2072,45012,1998,0
2075,14272,2000,0
2075,14272,2001,0
2077,935802,1998,0
2077,935802,1999,0
2082,785161,1999,0
2082,785161,2000,0
2082,785161,2001,0
2082,785161,2002,0
2094,51124,1996,0
2094,51124,1997,0
2105,1021264,1998,0
2105,1021264,1999,0
2105,1021264,2000,0
2114,1085776,2001,0
2114,1085776,2002,0
2117,1068292,2000,0
2124,854499,2000,0
2124,854499,2001,0
2124,854499,2002,0
2125,923282,1999,0
2125,923282,2000,0
2125,923282,2001,0
2126,109471,1999,0
2126,109471,2000,0
2126,109471,2001,0
2126,109471,2002,0
2132,895421,2000,0
2132,895421,2001,0
2134,750901,2000,0
2134,750901,2001,0
2137,225868,2000,0
2145,5272,2000,0
2145,5272,2001,0
2145,5272,2002,0
2145,5272,2003,0
2148,1310067,1999,0
2148,1310067,2000,0
2158,914789,2001,0
2172,887403,2000,0
2172,887403,2001,0
2172,887403,2002,0
2181,737572,2000,0
2181,737572,2001,0
2185,1050891,1999,0
2185,1050891,2000,0
2194,814580,2001,0
2194,814580,2002,0
2194,814580,2003,0
2202,917524,2000,0
2205,923662,1995,0
2216,1105705,2000,0
2216,1105705,2001,0
2216,1105705,2002,0
2218,1073773,1999,0
2219,1003114,1999,0
2219,1003114,2000,0
2219,1003114,2001,0
2219,1003114,2002,0
2219,1003114,2003,0
2223,1035700,1999,0
2225,29534,1998,0
2225,29534,1999,0
2225,29534,2000,0
2227,1081661,2000,0
2232,21344,1997,0
2232,21344,1998,0
2232,21344,1999,0
2237,796486,1998,0
2237,796486,1999,0
2237,796486,2000,0
2237,796486,2001,0
2238,918111,1998,0
2246,1280191,1999,0
2246,1280191,2000,0
2251,49196,2001,0
2251,49196,2002,0
2255,1050446,1998,0
2255,1050446,1999,0
2259,946581,1997,0
2259,946581,1998,0
2259,946581,1999,0
2259,946581,2000,0
2259,946581,2001,0
2259,946581,2002,0
2259,946581,2003,0
2270,1013243,2003,0
2273,1326160,2001,0
2280,1019376,1999,0
2280,1019376,2000,0
2284,918999,1999,0
2284,918999,2000,0
2284,918999,2001,0
2285,1108058,2001,0
2290,857471,1999,0
2306,887919,2001,0
2306,887919,2002,0
2309,1397772,2000,0
2309,1397772,2001,0
2309,1397772,2002,1
2310,1102329,2002,0
2313,104938,1992,0
2313,104938,1993,0
2313,104938,1994,0
2313,104938,1995,0
2313,104938,1996,0
2314,352949,2001,0
2329,895651,2002,0
2339,1112987,2001,0
2344,1025844,1998,0
2344,1025844,1999,0
2345,889900,2001,0
2345,889900,2002,0
2345,889900,2003,0
2345,889900,2004,0
2351,911004,2001,0
2351,911004,2002,0
2351,911004,2003,0
2359,932112,2001,0
2360,890801,1998,0
2360,890801,1999,0
2360,890801,2000,0
2370,26172,1997,0
2370,26172,1998,0
2370,26172,1999,0
2370,26172,2000,1
2370,26172,2001,0
2370,26172,2002,1
2376,928395,1999,0
2383,1110646,2000,0
2386,912593,2000,0
2386,912593,2001,0
2386,912593,2002,0
2401,1057334,2000,0
2403,1012482,2002,0
2403,1012482,2003,0
2413,1099219,2000,0
2413,1099219,2001,0
2413,1099219,2002,0
2413,1099219,2003,0
2420,1237941,1999,0
2420,1237941,2000,0
2421,1004945,2001,0
2421,1004945,2002,0
2422,50493,2002,0
2422,50493,2003,0
2424,1121484,2003,0
2425,1023519,2001,0
2433,310522,1998,0
2433,310522,1999,0
2433,310522,2000,0
2433,310522,2001,0
2433,310522,2002,0
2433,310522,2003,0
2434,726513,2002,0
2434,726513,2003,0
2439,1046501,2000,0
2439,1046501,2001,0
2439,1046501,2002,0
2439,1046501,2003,0
2449,1047122,1997,0
2449,1047122,1998,0
2449,1047122,1999,0
2449,1047122,2000,0
2449,1047122,2001,0
2452,922814,2000,0
2452,922814,2001,0
2452,922814,2002,0
2464,1003464,2001,0
2478,93566,1999,0
2478,93566,2000,0
2478,93566,2001,0
2480,936931,2001,0
2480,936931,2002,0
2480,936931,2003,0
2483,1007800,2003,0
2484,913144,2001,1
2484,913144,2002,0
2484,913144,2003,0
2485,1114925,2001,0
2489,1130950,2004,0
2493,912603,1999,0
2493,912603,2000,0
2493,912603,2001,0
2493,912603,2002,0
2493,912603,2003,0
2493,912603,2004,0
2496,1024338,2000,0
2504,1521332,2000,0
2504,1521332,2001,0
2504,1521332,2002,0
2504,1521332,2003,0
2504,1521332,2004,0
2518,1674862,1999,0
2518,1674862,2000,0
2518,1674862,2001,0
2530,42284,2001,0
2532,929940,2000,0
2532,929940,2001,0
2532,929940,2002,1
2532,929940,2003,1
2532,929940,2004,1
2548,814585,1998,0
2548,814585,1999,0
2548,814585,2000,0
2548,814585,2001,0
2548,814585,2002,0
2548,814585,2003,0
2551,772891,1997,0
2551,772891,1998,0
2551,772891,1999,0
2551,772891,2000,0
2551,772891,2001,0
2551,772891,2002,0
2555,29915,1996,0
2555,29915,1997,0
2555,29915,1998,0
2555,29915,1999,0
2555,29915,2000,0
2555,29915,2001,0
2558,1020416,1997,0
2558,1020416,1998,0
2558,1020416,1999,0
2558,1020416,2000,0
2558,1020416,2001,0
2558,1020416,2002,0
2558,1020416,2003,0
2558,1020416,2004,0
2558,1020416,2005,0
2562,1084408,2000,0
2562,1084408,2001,0
2562,1084408,2002,0
2562,1084408,2003,0
2575,812446,2002,0
2576,72911,2000,0
2576,72911,2001,0
2576,72911,2002,0
2581,846815,2001,0
2581,846815,2002,0
2581,846815,2003,0
2581,846815,2004,0
2582,911707,1999,0
2582,911707,2000,0
2582,911707,2001,0
2582,911707,2002,0
2582,911707,2003,0
2588,1135185,2000,0
2588,1135185,2001,0
2591,70318,2000,0
2591,70318,2001,0
2591,70318,2002,0
2591,70318,2003,0
2591,70318,2004,0
2596,855684,2002,0
2601,73088,2001,0
2611,883587,2001,0
2611,883587,2002,0
2611,883587,2003,0
2613,1037949,1999,0
2613,1037949,2000,0
2613,1037949,2001,0
2617,1010788,2003,0
2618,3906,2001,0
2618,3906,2002,0
2620,820081,1997,1
2620,820081,1998,0
2620,820081,1999,0
2620,820081,2000,0
2620,820081,2001,0
2621,764244,1999,0
2622,1111345,2002,0
2622,1111345,2003,0
2623,51143,2000,0
